Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,TITULARES,1,LUIS IGNACIO ASTORGA,M,39,1,35-40
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,TITULARES,2,ANTONIA SOTELO,F,55,4,51-56
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,SUPLENTES,1,GONZALO MARTIN ISASMENDI,M,32,0,30-35
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,TITULARES,1,MARIA ANGELICA GALVEZ,F,59,5,56-61
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,TITULARES,2,ALFREDO ANTONIO TOJO,M,67,7,66-72
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,SUPLENTES,1,MAIRA GUADALUPE FERNANDEZ,F,36,1,35-40
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,SUPLENTES,2,CRISTIAN MARIO BIASOLI,M,44,2,40-46
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,TITULARES,1,HORACIO RAUL GHINAUDO,M,73,8,72-77
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,TITULARES,2,MONICA ALEJANDRA CURIMA,F,46,3,46-51
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,SUPLENTES,1,MARCOS MARTÍN BONABELLO,M,47,3,46-51
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,TITULARES,1,PATRICIA S GARDELLA,F,59,5,56-61
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,TITULARES,2,OSCAR ROBERTO PETTINATO,M,73,8,72-77
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,SUPLENTES,1,MARIANA LAURA QUIROGA,F,47,3,46-51
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,SUPLENTES,2,MIGUEL ALFREDO TOLOSA,M,64,6,61-66
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,TITULARES,1,GRACIELA BEATRIZ CALDERON,F,61,5,56-61
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,TITULARES,2,DARIO JAVIER HERMOSILLA,M,46,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,SUPLENTES,1,MARCELA ALEJANDRA ACOSTA,F,47,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,SUPLENTES,2,JORGE SANTIAGO BOBBIESI,M,47,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,TITULARES,1,ROMINA DEL PLA,F,51,4,51-56
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,TITULARES,2,NAHUEL  ORELLANA,M,33,0,30-35
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,SUPLENTES,1,YAMILE ALMEIDA,F,50,3,46-51
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,SUPLENTES,2,MIGUEL BRAVETTI,M,59,5,56-61
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,TITULARES,1,SILVANA RAQUEL CILISQUI,F,44,2,40-46
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,TITULARES,2,LUCAS NAHUEL SALAZAR,M,31,0,30-35
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,SUPLENTES,1,CLAUDIA NATALIA BORDA,F,43,2,40-46
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,BUENOS AIRES,SUPLENTES,2,CARLOS ALBERTO TERESIN MOLINA,M,38,1,35-40
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,TITULARES,1,ANDREA VANESA URREJOLA,F,36,1,35-40
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,TITULARES,2,DANIEL MIGUEL PALACIO,M,44,2,40-46
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,SUPLENTES,1,CELIA ESTHER ORUE,F,43,2,40-46
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,BUENOS AIRES,SUPLENTES,2,LUIS OSVALDO MALHEIRO,M,52,4,51-56
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,TITULARES,1,ARCELIA RAMIREZ,F,54,4,51-56
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,TITULARES,2,RICARDO LUCIANO PAEZ,M,57,5,56-61
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,SUPLENTES,1,MIRIAM ESTELA ROMERO,F,55,4,51-56
FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,BUENOS AIRES,SUPLENTES,2,CARLOS ALBERTO DIARTE,M,40,1,35-40
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,TITULARES,1,LEONARDO RENATO RAMON BARIANI,M,74,8,72-77
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,TITULARES,2,MARIA VICTORIA ARREDONDO,F,37,1,35-40
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SUPLENTES,1,OSCAR VICTORIO SARANZOTTI,M,70,7,66-72
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SUPLENTES,2,ROBERTA ROMINA AGUIRRE,F,43,2,40-46
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,TITULARES,1,ROCIO SOLEDAD GIACCONE,F,42,2,40-46
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,TITULARES,2,MARTIN EDUARDO PALMA BASTIDAS,M,42,2,40-46
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,SUPLENTES,1,GRACIELA NORA REGO,F,69,7,66-72
HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,SUPLENTES,2,ROBERTO HECTOR VILLA,M,70,7,66-72
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,TITULARES,1,JOSÉ LUIS ESPERT,M,62,6,61-66
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,TITULARES,2,CYNTHIA LILIANA HOTTON,F,54,4,51-56
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,SUPLENTES,1,BRUNO GUIDO SCRENCI SILVA,M,53,4,51-56
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,SUPLENTES,2,ROSALIA DE LOS ANGELES FUCELLO,F,44,2,40-46
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,TITULARES,1,MAXIMILIANO ABAD,M,46,3,46-51
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,TITULARES,2,MARIA EUGENIA TALERICO,F,52,4,51-56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,SUPLENTES,1,PABLO HECTOR WALTER,M,56,4,51-56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,SUPLENTES,2,MARIA DE LUJAN GUARDO,F,52,4,51-56
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,TITULARES,1,LUIS ALFREDO FERNANDEZ,M,55,4,51-56
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,TITULARES,2,ANA CATALINA CRISPENS,F,58,5,56-61
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SUPLENTES,1,JOSE ANTONIO PAREDES,M,62,6,61-66
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SUPLENTES,2,RAMONA BEATRIZ JEREZ,F,65,6,61-66
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,TITULARES,1,JUAN IGNACIO NAPOLI,M,53,4,51-56
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,TITULARES,2,GLADYS NOEMI HUMENUK,F,50,3,46-51
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SUPLENTES,1,ALVARO GARCIA,M,44,2,40-46
