,DISTRITO,GRUPO,ELECTORES,Percentage
0,Buenos Aires,1953-anteriores,1560050,11.9
1,Buenos Aires,1954-1963,1414797,10.79
2,Buenos Aires,1964-1973,1780574,13.58
3,Buenos Aires,1974-1983,2338225,17.84
4,Buenos Aires,1984-1993,2496019,19.04
5,Buenos Aires,1994-2005,3111400,23.74
6,Buenos Aires,2006-2007,407313,3.11
7,Capital Federal,1953-anteriores,493988,19.5
8,Capital Federal,1954-1963,337925,13.34
9,Capital Federal,1964-1973,372299,14.7
10,Capital Federal,1974-1983,448493,17.71
11,Capital Federal,1984-1993,411120,16.23
12,Capital Federal,1994-2005,415066,16.39
13,Capital Federal,2006-2007,54201,2.14
14,Catamarca,1953-anteriores,33462,9.84
15,Catamarca,1954-1963,33208,9.76
16,Catamarca,1964-1973,43097,12.67
17,Catamarca,1974-1983,60988,17.93
18,Catamarca,1984-1993,68531,20.15
19,Catamarca,1994-2005,90774,26.69
20,Catamarca,2006-2007,10108,2.97
21,Chaco,1953-anteriores,95411,9.53
22,Chaco,1954-1963,98366,9.82
23,Chaco,1964-1973,122799,12.26
24,Chaco,1974-1983,171896,17.16
25,Chaco,1984-1993,207685,20.74
26,Chaco,1994-2005,275918,27.55
27,Chaco,2006-2007,29537,2.95
28,Chubut,1953-anteriores,47396,10.0
29,Chubut,1954-1963,47998,10.12
30,Chubut,1964-1973,62041,13.08
31,Chubut,1974-1983,91480,19.29
32,Chubut,1984-1993,98396,20.75
33,Chubut,1994-2005,112867,23.8
34,Chubut,2006-2007,14015,2.96
35,Cordoba,1953-anteriores,396761,12.94
36,Cordoba,1954-1963,339637,11.08
37,Cordoba,1964-1973,411387,13.42
38,Cordoba,1974-1983,549060,17.91
39,Cordoba,1984-1993,581630,18.98
40,Cordoba,1994-2005,703303,22.95
41,Cordoba,2006-2007,83310,2.72
42,Corrientes,1953-anteriores,99748,10.68
43,Corrientes,1954-1963,97827,10.48
44,Corrientes,1964-1973,118719,12.72
45,Corrientes,1974-1983,157418,16.86
46,Corrientes,1984-1993,186451,19.97
47,Corrientes,1994-2005,246367,26.39
48,Corrientes,2006-2007,27068,2.9
49,Entre Rios,1953-anteriores,142134,12.43
50,Entre Rios,1954-1963,124879,10.92
