,Agrupación Política,Lista,Cargo,Posicion,Genero
0,BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DIPUTADOS NACIONALES,1,Femenino
44,BUENOS AIRES PRIMERO (BAP),LISTA UNICA,SENADORES NACIONALES,1,Masculino
47,CONFIANZA PUBLICA,VALORES EN ACCION,DIPUTADOS NACIONALES,1,Masculino
85,CONFIANZA PUBLICA,VALORES EN ACCION,SENADORES NACIONALES,1,Femenino
89,CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,DIPUTADOS NACIONALES,1,Masculino
137,CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,SENADORES NACIONALES,1,Masculino
140,CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,DIPUTADOS NACIONALES,1,Masculino
188,CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,SENADORES NACIONALES,1,Femenino
192,FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
236,FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,SENADORES NACIONALES,1,Femenino
240,FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
284,FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,1,Femenino
288,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,ACCION Y SOLIDARIDAD,SENADORES NACIONALES,1,Femenino
295,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SERVIR,SENADORES NACIONALES,1,Femenino
302,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,SOLIDARIOS,SENADORES NACIONALES,1,Femenino
306,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,DIPUTADOS NACIONALES,1,Masculino
352,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,SENADORES NACIONALES,1,Masculino
356,HACEMOS POR NUESTRO PAIS,HACEMOS,DIPUTADOS NACIONALES,1,Femenino
402,HACEMOS POR NUESTRO PAIS,HACEMOS,SENADORES NACIONALES,1,Femenino
406,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
454,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,1,Masculino
458,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
504,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,1,Masculino
508,JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,DIPUTADOS NACIONALES,1,Masculino
556,JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,SENADORES NACIONALES,1,Masculino
560,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,1,Masculino
608,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,SENADORES NACIONALES,1,Masculino
612,MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
639,MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,SENADORES NACIONALES,1,Masculino
641,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,DIPUTADOS NACIONALES,1,Femenino
686,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,SENADORES NACIONALES,1,Masculino
689,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,DIPUTADOS NACIONALES,1,Masculino
737,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,SENADORES NACIONALES,1,Femenino
741,MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,DIPUTADOS NACIONALES,1,Masculino
789,MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,SENADORES NACIONALES,1,Masculino
793,NUEVA UNION CELESTE,CELESTE,DIPUTADOS NACIONALES,1,Masculino
841,NUEVA UNION CELESTE,CELESTE,SENADORES NACIONALES,1,Masculino
845,PARTIDO LABORISTA,FRENTE LABORISTA,DIPUTADOS NACIONALES,1,Femenino
893,PARTIDO LABORISTA,FRENTE LABORISTA,SENADORES NACIONALES,1,Femenino
897,PARTIDO LABORISTA,LA CLASE OBRERA,DIPUTADOS NACIONALES,1,Femenino
945,PARTIDO LABORISTA,LA CLASE OBRERA,SENADORES NACIONALES,1,Femenino
952,PARTIDO LABORISTA,REFUNDACION,SENADORES NACIONALES,1,Femenino
959,PARTIDO LABORISTA,VOLVER A LAS FUENTES,SENADORES NACIONALES,1,Masculino
963,PARTIDO LIBERTARIO,LIBERTARIOS,DIPUTADOS NACIONALES,1,Masculino
1011,PARTIDO LIBERTARIO,LIBERTARIOS,SENADORES NACIONALES,1,Femenino
1015,PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,DIPUTADOS NACIONALES,1,Femenino
1044,PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,SENADORES NACIONALES,1,Masculino
1049,PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,SENADORES NACIONALES,1,Masculino
1053,PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,DIPUTADOS NACIONALES,1,Masculino
1101,PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,SENADORES NACIONALES,1,Femenino
1105,PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,DIPUTADOS NACIONALES,1,Masculino
1146,PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,SENADORES NACIONALES,1,Masculino
1156,PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,SENADORES NACIONALES,1,Masculino
1160,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,DIPUTADOS NACIONALES,1,Masculino
1198,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,SENADORES NACIONALES,1,Masculino
1201,POLITICA OBRERA,UNIDAD OBRERA,DIPUTADOS NACIONALES,1,Femenino
1216,POLITICA OBRERA,UNIDAD OBRERA,SENADORES NACIONALES,1,Masculino
1217,PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,DIPUTADOS NACIONALES,1,Femenino
1263,PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,SENADORES NACIONALES,1,Masculino
1267,PROYECTO JOVEN,FRENTE JOVEN,DIPUTADOS NACIONALES,1,Femenino
1305,PROYECTO JOVEN,FRENTE JOVEN,SENADORES NACIONALES,1,Masculino
1309,PROYECTO JOVEN,PATRIA UNIDA,DIPUTADOS NACIONALES,1,Masculino
1341,PROYECTO JOVEN,PATRIA UNIDA,SENADORES NACIONALES,1,Masculino
1345,TODOS POR BUENOS AIRES,TODOS POR LA PROVINCIA,DIPUTADOS NACIONALES,1,Masculino
1383,TODOS POR BUENOS AIRES,,SENADORES NACIONALES,1,Femenino
1387,UNION POR LA PATRIA,CELESTE Y BLANCA NúMERO LISTA 2,DIPUTADOS NACIONALES,1,Masculino
1435,UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,SENADORES NACIONALES,1,Masculino
1439,AUTENTICO LIBERALES CATAMARCA,LIBERAR Y POPULAR,DIPUTADOS NACIONALES,1,Masculino
1446,AUTENTICO LIBERALES CATAMARCA,LIBERTARIOS,DIPUTADOS NACIONALES,1,Masculino
1453,FRENTE DE IZQUIERDA  Y DE TRABAJADORES - UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
1460,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,DIPUTADOS NACIONALES,1,Masculino
1467,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
1474,JUNTOS POR EL CAMBIO,GANA CATAMARCA,DIPUTADOS NACIONALES,1,Masculino
1481,LA LIBERTAD AVANZA,UNION  EN DESARROLLO Y LIBERTAD,DIPUTADOS NACIONALES,1,Masculino
1488,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,DIPUTADOS NACIONALES,1,Femenino
1495,MOVIMIENTOLIBRESDELSUR,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Femenino
1502,NUEVO ESPACIO DE OPINION,HACEMOS UNIDOS POR CATAMARCA   NEO,DIPUTADOS NACIONALES,1,Femenino
1509,UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Masculino
1516,FRENTE INTEGRADOR,INTEGRACIÓN I,DIPUTADOS NACIONALES,1,Femenino
1522,JUNTOS POR EL CAMBIO,CHACO CAMBIA,DIPUTADOS NACIONALES,1,Masculino
1531,LA LIBERTAD AVANZA,A,DIPUTADOS NACIONALES,1,Masculino
1540,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,90,DIPUTADOS NACIONALES,1,Masculino
1549,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Femenino
1558,PARTIDO DEL OBRERO,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
1567,PARTIDO DEMOCRATA,ENCUENTRO LIBERTARIO POR EL CHACO,DIPUTADOS NACIONALES,1,Femenino
1573,UNION POR LA PATRIA,17 DE OCTUBRE  LETRA J,DIPUTADOS NACIONALES,1,Masculino
1582,UNION POR LA PATRIA,LA MARIA EVA,DIPUTADOS NACIONALES,1,Masculino
1586,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
1595,GEN CHUBUT,EL AGUA VALE + QUE EL ORO,DIPUTADOS NACIONALES,1,Masculino
1604,JUNTOS POR EL CAMBIO CHUBUT,A DESPIERTA CHUBUT,DIPUTADOS NACIONALES,1,Masculino
1613,JUNTOS POR EL CAMBIO CHUBUT,C UN CAMINO REAL,DIPUTADOS NACIONALES,1,Masculino
1622,LA LIBERTAD AVANZA CHUBUT,A UN CHUBUT MEJOR ES POSIBLE,DIPUTADOS NACIONALES,1,Masculino
1631,UNIÓN POR LA PATRIA,B RECONSTRUIR CHUBUT,DIPUTADOS NACIONALES,1,Femenino
1640,UNIÓN POR LA PATRIA,CELESTE Y BLANCA LETRA A,DIPUTADOS NACIONALES,1,Masculino
1649,UNIÓN POR LA PATRIA,K UNION POR CHUBUT,DIPUTADOS NACIONALES,1,Masculino
