Agrupación Política,Lista,Cargo,Género
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DIPUTADOS NACIONALES,Femenino
CONFIANZA PUBLICA,VALORES EN ACCION,DIPUTADOS NACIONALES,Masculino
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,DIPUTADOS NACIONALES,Masculino
CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,DIPUTADOS NACIONALES,Masculino
HACEMOS POR NUESTRO PAIS,HACEMOS,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,DIPUTADOS NACIONALES,Masculino
NUEVA UNION CELESTE,CELESTE,DIPUTADOS NACIONALES,Masculino
PARTIDO LABORISTA,FRENTE LABORISTA,DIPUTADOS NACIONALES,Femenino
PARTIDO LABORISTA,LA CLASE OBRERA,DIPUTADOS NACIONALES,Femenino
PARTIDO LIBERTARIO,LIBERTARIOS,DIPUTADOS NACIONALES,Masculino
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,DIPUTADOS NACIONALES,Femenino
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,DIPUTADOS NACIONALES,Masculino
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,DIPUTADOS NACIONALES,Masculino
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,DIPUTADOS NACIONALES,Masculino
POLITICA OBRERA,UNIDAD OBRERA,DIPUTADOS NACIONALES,Femenino
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,DIPUTADOS NACIONALES,Femenino
PROYECTO JOVEN,FRENTE JOVEN,DIPUTADOS NACIONALES,Femenino
PROYECTO JOVEN,PATRIA UNIDA,DIPUTADOS NACIONALES,Masculino
TODOS POR BUENOS AIRES,TODOS POR LA PROVINCIA,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BLANCA NúMERO LISTA 2,DIPUTADOS NACIONALES,Masculino
AUTENTICO LIBERALES CATAMARCA,LIBERAR Y POPULAR,DIPUTADOS NACIONALES,Masculino
AUTENTICO LIBERALES CATAMARCA,LIBERTARIOS,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA  Y DE TRABAJADORES - UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,GANA CATAMARCA,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,UNION  EN DESARROLLO Y LIBERTAD,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,DIPUTADOS NACIONALES,Femenino
MOVIMIENTOLIBRESDELSUR,AZUL Y ROJO,DIPUTADOS NACIONALES,Femenino
NUEVO ESPACIO DE OPINION,HACEMOS UNIDOS POR CATAMARCA   NEO,DIPUTADOS NACIONALES,Femenino
UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,Masculino
FRENTE INTEGRADOR,INTEGRACIÓN I,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,CHACO CAMBIA,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,A,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,90,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,Femenino
PARTIDO DEL OBRERO,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
PARTIDO DEMOCRATA,ENCUENTRO LIBERTARIO POR EL CHACO,DIPUTADOS NACIONALES,Femenino
