,Agrupación Política,Lista,Distrito,Precandidato,Género
0,BUENOS AIRES PRIMERO (BAP),LISTA UNICA,BUENOS AIRES,RITA VERONICA DEL VALLE PALACIOS,Femenino
47,CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,CLAUDIO SCARAVAGLIONE,Masculino
89,CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,FEDERICO GABRIEL MAGGIO,Masculino
140,CORRIENTE DE PENSAMIENTO BONAERENSE,CORRIENTE DE PENSAMIENTO AUTENTICA,BUENOS AIRES,EDUARDO RAUL LUDUEÑA,Masculino
192,FRENTE DE IZQUIERDA Y DE TRABAJADORES,A UNIR Y FORTALECER LA IZQUIERDA,BUENOS AIRES,CHRISTIAN CARLOS HERNAN CASTILLO,Masculino
240,FRENTE DE IZQUIERDA Y DE TRABAJADORES,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,BUENOS AIRES,NESTOR PITROLA,Masculino
306,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,BUENOS AIRES,SEBASTIAN JORGE SALVADOR BUSTAMANTE,Masculino
356,HACEMOS POR NUESTRO PAIS,HACEMOS,BUENOS AIRES,"HILDA """"CHICHE"""" DUHALDE",Femenino
406,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,BUENOS AIRES,MIGUEL ANGEL PICHETTO,Masculino
458,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,BUENOS AIRES,CRISTIAN ADRIÁN RITONDO,Masculino
508,JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,ADRIAN DANIEL MORALES,Masculino
560,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,ALBERTO TIBURCIO BENEGAS LYNCH,Masculino
612,MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,BUENOS AIRES,JUAN CRUZ RAMAT,Masculino
641,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,CHINDA CONCEPCION BRANDOLINO,Femenino
689,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,ALEXIS MARIÑO,Masculino
741,MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,MAURO DARIO LOPEZ GARCIA,Masculino
793,NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,LEANDRO JAVIER RODRIGUEZ LASTRA,Masculino
845,PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,CLAUDIA MABEL BONETTI,Femenino
897,PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,ANTONIA ACOSTA,Femenino
963,PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SERGIO MIGUEL PALAHY SOSA,Masculino
1015,PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,MONICA BEATRIZ AGUIRRE,Femenino
1053,PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,HORACIO ALBERTO VALDEZ,Masculino
1105,PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,DAVID EZEQUIEL BENITEZ,Masculino
1160,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,HUGO ROBERTO MARTINEZ,Masculino
