,Partido,perc,Name
0,UNION POR LA PATRIA,32.12,Buenos Aires
15,UNION POR LA PATRIA,40.23,Catamarca
30,UNION POR LA PATRIA,34.64,Chaco
45,LA LIBERTAD AVANZA,39.4,Chubut
60,JUNTOS POR EL CAMBIO,48.31,Capital Federal
75,JUNTOS POR EL CAMBIO,34.28,Corrientes
90,LA LIBERTAD AVANZA,33.61,Cordoba
105,JUNTOS POR EL CAMBIO,32.11,Entre Rios
120,UNION POR LA PATRIA,46.61,Formosa
135,LA LIBERTAD AVANZA,39.83,Jujuy
150,LA LIBERTAD AVANZA,32.77,La Pampa
165,LA LIBERTAD AVANZA,36.42,La Rioja
180,LA LIBERTAD AVANZA,44.8,Mendoza
195,LA LIBERTAD AVANZA,43.03,Misiones
210,LA LIBERTAD AVANZA,39.04,Neuquen
222,LA LIBERTAD AVANZA,37.29,Rio Negro
237,LA LIBERTAD AVANZA,49.38,Salta
252,LA LIBERTAD AVANZA,34.17,San Juan
267,LA LIBERTAD AVANZA,47.85,San Luis
282,LA LIBERTAD AVANZA,28.96,Santa Cruz
297,LA LIBERTAD AVANZA,35.19,Santa Fe
312,UNION POR LA PATRIA,53.28,Santiago del Estero
327,LA LIBERTAD AVANZA,35.28,Tierra del Fuego
342,LA LIBERTAD AVANZA,35.95,Tucuman
