,code,nombre,candidatos,votos,perc,percAbs,mapa_scopes_scopeId,mapa_scopes_name,mapa_scopes_partidos_name,mapa_scopes_partidos_code
0,3005,A- CELESTE Y BLANCA,"['SERGIO TOMAS MASSA', 'AGUSTIN ROSSI']",2069920.0,73.11,23.48,000000000000000000000016,Buenos Aires,UNION POR LA PATRIA,134
1,3006,B- JUSTA Y SOBERANA,"['JUAN GRABOIS', 'PAULA ABAL MEDINA']",761158.0,26.88,8.63,000000000000000000000016,Buenos Aires,UNION POR LA PATRIA,134
2,3008,B- LA FUERZA DEL CAMBIO,"['PATRICIA BULLRICH', 'LUIS PETRI']",1448907.0,56.42,16.44,000000000000000000000016,Buenos Aires,JUNTOS POR EL CAMBIO,132
3,3007,A- EL CAMBIO DE NUESTRAS VIDAS,"['HORACIO ANTONIO RODRIGUEZ LARRETA', 'GERARDO MORALES']",1118933.0,43.57,12.69,000000000000000000000016,Buenos Aires,JUNTOS POR EL CAMBIO,132
4,3016,A- LIBERTAD POR SIEMPRE,"['JAVIER GERARDO MILEI', 'VICTORIA VILLARRUEL']",2161679.0,100.0,24.52,000000000000000000000016,Buenos Aires,LA LIBERTAD AVANZA,135
5,3009,A- UNIR Y FORTALECER LA IZQUIERDA,"['MYRIAM TERESA BREGMAN', 'NICOLAS DEL CAÑO']",209110.0,71.22,2.37,000000000000000000000016,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
6,3010,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,"['GABRIEL ESTEBAN SOLANO', 'VILMA RIPOLL']",84491.0,28.77,0.95,000000000000000000000016,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
7,3001,A- HACEMOS,"['JUAN SCHIARETTI', 'FLORENCIO RANDAZZO']",97586.0,100.0,1.1,000000000000000000000016,Buenos Aires,HACEMOS POR NUESTRO PAIS,133
8,3011,"1A- TIERRA, TECHO  Y TRABAJO","['MARIO GUILLERMO MORENO', 'LEONARDO RUBEN FABRE']",77614.0,100.0,0.88,000000000000000000000016,Buenos Aires,PRINCIPIOS Y VALORES,137
9,3019,A- AZUL Y ROJO,"['JESUS ARNALDO ESCOBAR', 'MARIANELLA LEZAMA HID']",41840.0,100.0,0.47,000000000000000000000016,Buenos Aires,MOVIMIENTO LIBRES DEL SUR,40
10,3027,B- CONFEDERAL,"['GABRIEL SANTIAGO CÚNEO', 'GUSTAVO BARRANCO']",25324.0,72.91,0.28,000000000000000000000016,Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
11,3026,A- DIGNIDAD,"['RAUL ANIBAL CASTELLS', 'ADRIANA REINOSO']",9405.0,27.08,0.1,000000000000000000000016,Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
12,3017,A- IZQUIERDA ANTICAPITALISTA,"['MANUELA JIMENA CASTAÑEIRA', 'LUCAS RUIZ']",32230.0,100.0,0.36,000000000000000000000016,Buenos Aires,MOVIMIENTO AL SOCIALISMO,13
13,3021,A- PRIMERO LA PATRIA,"['ALEJANDRO CESAR BIONDINI', 'MARIEL AVENDAÑO']",19974.0,100.0,0.22,000000000000000000000016,Buenos Aires,FRENTE PATRIOTA FEDERAL,95
14,3020,A- UNIDAD OBRERA,"['MARCELO ARMANDO RAMAL', 'PATRICIA URONES']",19572.0,100.0,0.22,000000000000000000000016,Buenos Aires,POLITICA OBRERA,92
