,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
0,A- CELESTE Y BLANCA,MASSA-ROSSI,2069920,73.11,23.48,Buenos Aires,UNION POR LA PATRIA
1,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,761158,26.88,8.63,Buenos Aires,UNION POR LA PATRIA
2,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,1448907,56.42,16.44,Buenos Aires,JUNTOS POR EL CAMBIO
3,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,1118933,43.57,12.69,Buenos Aires,JUNTOS POR EL CAMBIO
4,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,2161679,100.0,24.52,Buenos Aires,LA LIBERTAD AVANZA
5,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,209110,71.22,2.37,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
6,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,84491,28.77,0.95,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
7,A- HACEMOS,SCHIARETTI-RANDAZZO,97586,100.0,1.1,Buenos Aires,HACEMOS POR NUESTRO PAIS
8,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,77614,100.0,0.88,Buenos Aires,PRINCIPIOS Y VALORES
9,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,41840,100.0,0.47,Buenos Aires,MOVIMIENTO LIBRES DEL SUR
10,B- CONFEDERAL,CÚNEO-BARRANCO,25324,72.91,0.28,Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
11,A- DIGNIDAD,CASTELLS-REINOSO,9405,27.08,0.1,Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
12,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,32230,100.0,0.36,Buenos Aires,MOVIMIENTO AL SOCIALISMO
13,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,19974,100.0,0.22,Buenos Aires,FRENTE PATRIOTA FEDERAL
14,A- UNIDAD OBRERA,RAMAL-URONES,19572,100.0,0.22,Buenos Aires,POLITICA OBRERA
15,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,7317,44.51,0.08,Buenos Aires,PROYECTO JOVEN
16,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,7060,42.94,0.08,Buenos Aires,PROYECTO JOVEN
17,C- TODEX,IBAÑEZ-IBARRA,2062,12.54,0.02,Buenos Aires,PROYECTO JOVEN
18,B- RECONQUISTA,VASENA-LAGONEGRO,10159,64.2,0.11,Buenos Aires,FRENTE LIBER.AR
19,A- DEMOS,ETCHEPARE-LORENZO,4675,29.54,0.05,Buenos Aires,FRENTE LIBER.AR
20,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,989,6.25,0.01,Buenos Aires,FRENTE LIBER.AR
21,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,12795,100.0,0.14,Buenos Aires,MOVIMIENTO DE ACCION VECINAL
22,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,7400,100.0,0.08,Buenos Aires,UNION DEL CENTRO DEMOCRATICO
23,A- CELESTE Y BLANCA,MASSA-ROSSI,83099,94.95,38.2,Catamarca,UNION POR LA PATRIA
24,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,4414,5.04,2.02,Catamarca,UNION POR LA PATRIA
25,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,53778,100.0,24.72,Catamarca,LA LIBERTAD AVANZA
26,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,24046,53.98,11.05,Catamarca,JUNTOS POR EL CAMBIO
27,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,20498,46.01,9.42,Catamarca,JUNTOS POR EL CAMBIO
28,A- HACEMOS,SCHIARETTI-RANDAZZO,3530,100.0,1.62,Catamarca,HACEMOS POR NUESTRO PAIS
29,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,1580,56.38,0.72,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
30,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,1222,43.61,0.56,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
31,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,1245,100.0,0.57,Catamarca,MOVIMIENTO LIBRES DEL SUR
32,A- UNIDAD OBRERA,RAMAL-URONES,745,100.0,0.34,Catamarca,POLITICA OBRERA
33,B- CONFEDERAL,CÚNEO-BARRANCO,323,55.02,0.14,Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
34,A- DIGNIDAD,CASTELLS-REINOSO,264,44.97,0.12,Catamarca,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
35,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,557,100.0,0.25,Catamarca,MOVIMIENTO AL SOCIALISMO
