Distrito,La Libertad Avanza,Juntos por el Cambio,Unión por la Patria
Nivel Nacional,30.04,28.27,27.27
Buenos Aires,-5.52,0.86,4.85
Catamarca,-5.32,-7.79,12.96
Chaco,-1.11,-1.72,7.37
Chubut,9.36,-3.94,-4.45
Capital Federal,-12.27,20.04,-3.69
Corrientes,-0.86,6.01,2.11
Cordoba,3.57,-3.11,-18.61
Entre Rios,-8.06,3.84,1.76
Formosa,-4.54,-6.57,19.34
Jujuy,9.79,-4.48,-6.59
La Pampa,2.73,0.1,0.88
La Rioja,6.38,-8.04,4.21
Mendoza,14.76,-0.03,-10.41
Misiones,12.99,-9.3,-0.12
Neuquen,9,-5.45,-7.51
Rio Negro,7.25,-7.11,-0.57
Salta,19.34,-11.08,-3.14
San Juan,4.13,-0.38,1.77
San Luis,17.81,-4.76,-9.86
Santa Cruz,-1.08,-12.67,-5.92
Santa Fe,5.15,3.3,-6.21
Santiago del Estero,-3.07,-17.66,26.01
Tierra del Fuego,5.24,-7.47,1.98
Tucuman,5.91,-6.56,5.57
