,Num_dist,Name,Secciones,Circuitos,Mesas,Locales,Electores,Porcentaje,Femenino,Masculino,NoBinario,Total,M_Percentage,F_Percentage,X_Percentage
0,1,Capital Federal,15,167,7326,1099,2533092,7.16,1318002,1214871,219,2533092,47.96,52.031,0.009
1,2,Buenos Aires,135,1108,38074,6144,13110768,37.04,6678240,6429669,469,13108378,49.05,50.946,0.004
2,3,Catamarca,16,159,1058,220,340168,0.96,171211,168951,6,340168,49.667,50.331,0.002
3,4,Cordoba,26,634,9097,1489,3065088,8.66,1569496,1495535,57,3065088,48.793,51.206,0.002
4,5,Corrientes,25,170,2760,346,933876,2.64,465491,468099,8,933598,50.139,49.86,0.001
5,6,Chaco,25,159,2947,388,1001813,2.83,501844,499761,7,1001612,49.896,50.104,0.001
6,7,Chubut,15,121,1416,248,474242,1.34,236486,237676,31,474193,50.122,49.871,0.007
7,8,Entre Rios,17,318,3434,662,1143459,3.23,582001,561436,22,1143459,49.1,50.898,0.002
8,9,Formosa,9,162,1484,294,482602,1.36,241187,241383,2,482572,50.02,49.979,0.0
9,10,Jujuy,16,149,1825,309,590861,1.67,298567,291942,7,590516,49.438,50.56,0.001
10,11,La Pampa,22,89,902,182,300160,0.85,151490,148663,6,300159,49.528,50.47,0.002
11,12,La Rioja,18,149,955,240,304456,0.86,152983,151324,3,304310,49.727,50.272,0.001
12,13,Mendoza,18,192,4357,646,1492379,4.22,765234,727095,48,1492377,48.721,51.276,0.003
13,14,Misiones,17,107,2879,454,988482,2.79,494788,493680,14,988482,49.943,50.055,0.001
14,15,Neuquen,16,169,1683,337,553748,1.56,274978,278738,32,553748,50.337,49.658,0.006
15,16,Rio Negro,13,181,1800,304,595081,1.68,299163,295895,23,595081,49.723,50.273,0.004
16,17,Salta,23,336,3300,504,1090057,3.08,549456,540584,17,1090057,49.592,50.406,0.002
17,18,San Juan,19,145,1810,237,608535,1.72,311735,296792,8,608535,48.772,51.227,0.001
18,19,San Luis,9,192,1311,258,421370,1.19,210860,210504,5,421369,49.957,50.042,0.001
19,20,Santa Cruz,7,41,913,124,265330,0.75,128913,136411,6,265330,51.412,48.586,0.002
20,21,Santa Fe,19,523,8332,1429,2818280,7.96,1448984,1369248,47,2818279,48.585,51.414,0.002
21,22,Santiago del Estero,27,269,2464,477,812080,2.29,405342,406733,5,812080,50.085,49.914,0.001
22,23,Tucuman,17,282,3919,492,1320478,3.73,672633,647825,20,1320478,49.06,50.939,0.002
23,24,Tierra del Fuego,5,57,531,67,148020,0.42,72653,75354,13,148020,50.908,49.083,0.009
